review_category,candidate_id,image_id,image_number,run_date,track_id,track_length,x,y,snr,blob_size,artifact_score,artifact_flags,candidate_score,time,review_reason
strong_single_frame_candidate,1358114587-0121,N1358114587,1358114587,2001-01-13,T1729,1,622.86,585.04,178.89,3,0.00,,0.3125,2001-01-13T21:49:41.040,"Bright and reviewable, but not temporally linked yet."
likely_artifact,1357685116-0026,N1357685116,1357685116,2001-01-08,U049,1,715.00,96.00,366.52,1,0.85,single_pixel|too_small,0.0000,2001-01-08T22:32:25.006,Artifact flags: single_pixel|too_small.
likely_artifact,1357806858-0398,N1357806858,1357806858,2001-01-10,U020,1,402.00,601.00,296.12,1,0.85,single_pixel|too_small,0.0000,2001-01-10T08:21:26.143,Artifact flags: single_pixel|too_small.
likely_artifact,1357811330-0392,N1357811330,1357811330,2001-01-10,U023,1,402.00,601.00,292.83,1,0.85,single_pixel|too_small,0.0000,2001-01-10T09:35:58.112,Artifact flags: single_pixel|too_small.
likely_artifact,1358063118-0224,N1358063118,1358063118,2001-01-13,U001,1,988.00,902.00,200.02,1,0.85,single_pixel|too_small,0.0000,2001-01-13T07:32:24.388,Artifact flags: single_pixel|too_small.
likely_artifact,1357352003-0215,N1357352003,1357352003,2001-01-05,U004,1,402.00,601.00,191.47,1,0.85,single_pixel|too_small,0.0000,2001-01-05T02:01:10.293,Artifact flags: single_pixel|too_small.
likely_artifact,1357691416-0701,N1357691416,1357691416,2001-01-09,U000,1,522.00,747.00,176.83,1,0.85,single_pixel|too_small,0.0000,2001-01-09T00:17:24.962,Artifact flags: single_pixel|too_small.
likely_artifact,1358117118-0283,N1358117118,1358117118,2001-01-13,U022,1,318.00,946.00,172.49,1,0.85,single_pixel|too_small,0.0000,2001-01-13T22:32:24.014,Artifact flags: single_pixel|too_small.
likely_artifact,1357806858-0226,N1357806858,1357806858,2001-01-10,U020,1,623.00,335.00,152.87,1,0.85,single_pixel|too_small,0.0000,2001-01-10T08:21:26.143,Artifact flags: single_pixel|too_small.
likely_artifact,1358108287-0180,N1358108287,1358108287,2001-01-13,U015,1,402.00,601.00,151.10,1,0.85,single_pixel|too_small,0.0000,2001-01-13T20:04:41.083,Artifact flags: single_pixel|too_small.
likely_artifact,1357352003-0267,N1357352003,1357352003,2001-01-05,U004,1,731.00,735.00,150.99,1,0.85,single_pixel|too_small,0.0000,2001-01-05T02:01:10.293,Artifact flags: single_pixel|too_small.
likely_artifact,1357811330-0216,N1357811330,1357811330,2001-01-10,U023,1,623.00,335.00,150.48,1,0.85,single_pixel|too_small,0.0000,2001-01-10T09:35:58.112,Artifact flags: single_pixel|too_small.
likely_artifact,1358117287-0194,N1358117287,1358117287,2001-01-13,U023,1,402.00,601.00,150.02,1,0.85,single_pixel|too_small,0.0000,2001-01-13T22:34:41.021,Artifact flags: single_pixel|too_small.
likely_artifact,1358063287-0194,N1358063287,1358063287,2001-01-13,U002,1,402.00,601.00,148.97,1,0.85,single_pixel|too_small,0.0000,2001-01-13T07:34:41.395,Artifact flags: single_pixel|too_small.
likely_artifact,1357685285-0182,N1357685285,1357685285,2001-01-08,U050,1,402.00,601.00,147.11,1,0.85,single_pixel|too_small,0.0000,2001-01-08T22:34:42.013,Artifact flags: single_pixel|too_small.
likely_artifact,1357658284-0162,N1357658284,1357658284,2001-01-08,U026,1,402.00,601.00,144.03,1,0.85,single_pixel|too_small,0.0000,2001-01-08T15:04:41.200,Artifact flags: single_pixel|too_small.
likely_artifact,1357676285-0173,N1357676285,1357676285,2001-01-08,U042,1,402.00,601.00,143.75,1,0.85,single_pixel|too_small,0.0000,2001-01-08T20:04:42.075,Artifact flags: single_pixel|too_small.
likely_artifact,1357649284-0160,N1357649284,1357649284,2001-01-08,U018,1,402.00,601.00,143.46,1,0.85,single_pixel|too_small,0.0000,2001-01-08T12:34:41.262,Artifact flags: single_pixel|too_small.
likely_artifact,1357667285-0154,N1357667285,1357667285,2001-01-08,U034,1,402.00,601.00,141.09,1,0.85,single_pixel|too_small,0.0000,2001-01-08T17:34:42.137,Artifact flags: single_pixel|too_small.
likely_artifact,1358063287-0001,N1358063287,1358063287,2001-01-13,U002,1,492.00,4.00,139.15,1,0.85,single_pixel|too_small,0.0000,2001-01-13T07:34:41.395,Artifact flags: single_pixel|too_small.
likely_artifact,1357631284-0168,N1357631284,1357631284,2001-01-08,U004,1,402.00,601.00,137.63,1,0.85,single_pixel|too_small,0.0000,2001-01-08T07:34:41.386,Artifact flags: single_pixel|too_small.
likely_artifact,1358117287-0242,N1358117287,1358117287,2001-01-13,U023,1,731.00,735.00,132.23,1,0.85,single_pixel|too_small,0.0000,2001-01-13T22:34:41.021,Artifact flags: single_pixel|too_small.
likely_artifact,1358108118-0149,N1358108118,1358108118,2001-01-13,U014,1,402.00,601.00,131.08,1,0.85,single_pixel|too_small,0.0000,2001-01-13T20:02:24.077,Artifact flags: single_pixel|too_small.
likely_artifact,1358108287-0236,N1358108287,1358108287,2001-01-13,U015,1,731.00,735.00,129.94,1,0.85,single_pixel|too_small,0.0000,2001-01-13T20:04:41.083,Artifact flags: single_pixel|too_small.
likely_artifact,1357685285-0216,N1357685285,1357685285,2001-01-08,U050,1,731.00,735.00,129.72,1,0.85,single_pixel|too_small,0.0000,2001-01-08T22:34:42.013,Artifact flags: single_pixel|too_small.
likely_artifact,1358063118-0152,N1358063118,1358063118,2001-01-13,U001,1,402.00,601.00,129.67,1,0.85,single_pixel|too_small,0.0000,2001-01-13T07:32:24.388,Artifact flags: single_pixel|too_small.
likely_artifact,1357685116-0155,N1357685116,1357685116,2001-01-08,U049,1,402.00,601.00,128.88,1,0.85,single_pixel|too_small,0.0000,2001-01-08T22:32:25.006,Artifact flags: single_pixel|too_small.
likely_artifact,1358063287-0234,N1358063287,1358063287,2001-01-13,U002,1,731.00,735.00,128.50,1,0.85,single_pixel|too_small,0.0000,2001-01-13T07:34:41.395,Artifact flags: single_pixel|too_small.
likely_artifact,1356981845-0194,N1356981845,1356981845,2000-12-31,U004,1,402.00,601.00,128.17,1,0.85,single_pixel|too_small,0.0000,2000-12-31T19:11:54.857,Artifact flags: single_pixel|too_small.
likely_artifact,1357649284-0201,N1357649284,1357649284,2001-01-08,U018,1,731.00,735.00,127.78,1,0.85,single_pixel|too_small,0.0000,2001-01-08T12:34:41.262,Artifact flags: single_pixel|too_small.
