run_date,track_id,frame_count,first_image_id,last_image_id,median_peak_snr,mean_step_px,motion_consistency,candidate_score,temporal_quality,quality_reason,candidate_ids
2001-01-08,T1482,3,N1357646415,N1357647093,10.84,63.52,0.808,0.6794,strong_temporal_review,appears in 3+ frames; consistent step size; moderate SNR,1357646415-2509|1357646584-1140|1357647093-0746
2001-01-01,T0579,3,N1357032899,N1357033649,20.10,32.98,0.882,0.6787,strong_temporal_review,appears in 3+ frames; consistent step size; high SNR,1357032899-0359|1357033289-0344|1357033649-0378
2001-01-01,T0338,3,N1357023955,N1357024705,19.56,37.81,0.795,0.6785,strong_temporal_review,appears in 3+ frames; moderate step consistency; moderate SNR,1357023955-0175|1357024345-0171|1357024705-0255
2001-01-04,T0269,3,N1357335945,N1357336695,14.90,76.47,0.905,0.6781,strong_temporal_review,appears in 3+ frames; consistent step size; moderate SNR,1357335945-0057|1357336335-0041|1357336695-0021
2001-01-04,T0009,3,N1357313585,N1357314335,14.07,24.82,0.918,0.6764,strong_temporal_review,appears in 3+ frames; consistent step size; moderate SNR,1357313585-0039|1357313975-0028|1357314335-0039
2001-01-09,T0157,3,N1357763608,N1357764358,12.45,71.44,0.957,0.6764,strong_temporal_review,appears in 3+ frames; consistent step size; moderate SNR,1357763608-0095|1357763998-0064|1357764358-0086
2001-01-01,T0749,3,N1357041843,N1357042593,27.39,58.78,0.751,0.6752,strong_temporal_review,appears in 3+ frames; moderate step consistency; high SNR,1357041843-0120|1357042233-0150|1357042593-0192
2001-01-13,T1694,3,N1358114418,N1358115096,10.93,66.30,0.987,0.6749,strong_temporal_review,appears in 3+ frames; consistent step size; moderate SNR,1358114418-2172|1358114587-1185|1358115096-0630
2001-01-05,T0149,3,N1357356085,N1357356835,13.67,54.30,0.915,0.6733,strong_temporal_review,appears in 3+ frames; consistent step size; moderate SNR,1357356085-0061|1357356475-0089|1357356835-0041
2001-01-01,T0435,3,N1357028427,N1357029177,18.19,68.58,0.805,0.6730,strong_temporal_review,appears in 3+ frames; consistent step size; moderate SNR,1357028427-0098|1357028817-0064|1357029177-0129
2001-01-04,T0181,3,N1357331473,N1357332223,12.88,61.18,0.933,0.6730,strong_temporal_review,appears in 3+ frames; consistent step size; moderate SNR,1357331473-0034|1357331863-0044|1357332223-0004
2001-01-10,T0346,3,N1357810580,N1357811330,12.06,49.13,0.851,0.6726,strong_temporal_review,appears in 3+ frames; consistent step size; moderate SNR,1357810580-0128|1357810970-0073|1357811330-0061
2001-01-05,T0335,3,N1357373974,N1357374724,12.05,65.31,0.944,0.6708,strong_temporal_review,appears in 3+ frames; consistent step size; moderate SNR,1357373974-0071|1357374364-0058|1357374724-0024
2001-01-08,T2234,3,N1357655415,N1357656093,10.50,49.83,0.980,0.6706,strong_temporal_review,appears in 3+ frames; consistent step size; moderate SNR,1357655415-1431|1357655584-0739|1357656093-0193
2001-01-01,T0667,3,N1357037371,N1357038121,17.89,46.57,0.902,0.6702,strong_temporal_review,appears in 3+ frames; consistent step size; moderate SNR,1357037371-0251|1357037761-0233|1357038121-0302
2001-01-09,T0152,3,N1357763608,N1357764358,13.12,68.00,0.913,0.6694,strong_temporal_review,appears in 3+ frames; consistent step size; moderate SNR,1357763608-0054|1357763998-0013|1357764358-0008
2001-01-05,T0172,3,N1357356085,N1357356835,10.53,58.86,0.975,0.6694,strong_temporal_review,appears in 3+ frames; consistent step size; moderate SNR,1357356085-0154|1357356475-0141|1357356835-0095
2001-01-08,T2185,3,N1357655415,N1357656093,10.82,15.68,0.868,0.6693,strong_temporal_review,appears in 3+ frames; consistent step size; moderate SNR,1357655415-0205|1357655584-0201|1357656093-0071
