image_id,track_id,candidate_id,confidence,track_length,frame_index,opus_id,image_number,time,x,y,brightness,blob_size,artifact_score,area_px,peak_snr,mean_snr,integrated_snr,sharpness,elongation,flags,reason
N1358105587,T1060,1358105587-0864,0.4362,3,12,co-iss-n1358105587,1358105587,2001-01-13T19:19:41.102,614.49,850.49,8.55,4,0.00,4,8.55,7.72,30.89,1.11,2.24,,"3 frame(s); median area 4.0 px; net motion dx=15.8, dy=-73.0; flags: none"
N1358106096,T1060,1358106096-0255,0.4362,3,13,co-iss-n1358106096,1358106096,2001-01-13T19:29:18.122,629.92,777.77,14.13,3,0.00,3,14.13,10.43,31.28,1.36,4.39,,"3 frame(s); median area 4.0 px; net motion dx=15.8, dy=-73.0; flags: none"
N1358069418,T0764,1358069418-2018,0.4358,2,6,co-iss-n1358069418,1358069418,2001-01-13T09:17:24.345,643.74,918.71,11.81,3,0.00,3,11.81,8.88,26.63,1.33,1.73,,"2 frame(s); median area 3.5 px; net motion dx=-12.2, dy=-4.4; flags: none"
N1358069587,T0764,1358069587-1377,0.4358,2,7,co-iss-n1358069587,1358069587,2001-01-13T09:19:41.351,631.53,914.28,8.46,4,0.15,4,8.46,8.16,32.65,1.04,6.17,,"2 frame(s); median area 3.5 px; net motion dx=-12.2, dy=-4.4; flags: none"
N1358108118,T1436,1358108118-0694,0.4358,3,14,co-iss-n1358108118,1358108118,2001-01-13T20:02:24.077,594.19,1009.81,11.52,5,0.00,5,11.52,10.30,51.48,1.12,2.89,,"3 frame(s); median area 4.0 px; net motion dx=-4.3, dy=-24.1; flags: none"
N1358108287,T1436,1358108287-0542,0.4358,3,15,co-iss-n1358108287,1358108287,2001-01-13T20:04:41.083,594.01,1009.72,9.93,4,0.00,4,9.93,8.65,34.62,1.15,3.60,,"3 frame(s); median area 4.0 px; net motion dx=-4.3, dy=-24.1; flags: none"
N1358108796,T1436,1358108796-0294,0.4358,3,16,co-iss-n1358108796,1358108796,2001-01-13T20:14:18.103,589.93,985.71,12.26,3,0.00,3,12.26,11.45,34.34,1.07,4.39,,"3 frame(s); median area 4.0 px; net motion dx=-4.3, dy=-24.1; flags: none"
N1358105418,T0999,1358105418-0128,0.4358,3,11,co-iss-n1358105418,1358105418,2001-01-13T19:17:24.095,554.12,706.18,14.52,6,0.00,6,14.52,10.21,61.26,1.42,2.03,,"3 frame(s); median area 4.0 px; net motion dx=19.3, dy=50.1; flags: none"
N1358105587,T0999,1358105587-0183,0.4358,3,12,co-iss-n1358105587,1358105587,2001-01-13T19:19:41.102,553.67,706.24,10.80,4,0.00,4,10.80,8.28,33.13,1.30,2.70,,"3 frame(s); median area 4.0 px; net motion dx=19.3, dy=50.1; flags: none"
N1358106096,T0999,1358106096-0165,0.4358,3,13,co-iss-n1358106096,1358106096,2001-01-13T19:29:18.122,573.37,756.26,11.52,3,0.00,3,11.52,10.25,30.76,1.12,1.73,,"3 frame(s); median area 4.0 px; net motion dx=19.3, dy=50.1; flags: none"
N1358069418,T0786,1358069418-2995,0.4356,2,6,co-iss-n1358069418,1358069418,2001-01-13T09:17:24.345,713.95,1012.70,9.14,4,0.00,4,9.14,8.10,32.39,1.13,3.60,,"2 frame(s); median area 3.5 px; net motion dx=-32.6, dy=-19.4; flags: none"
N1358069587,T0786,1358069587-1637,0.4356,2,7,co-iss-n1358069587,1358069587,2001-01-13T09:19:41.351,681.33,993.33,11.05,3,0.00,3,11.05,10.90,32.71,1.01,1.73,,"2 frame(s); median area 3.5 px; net motion dx=-32.6, dy=-19.4; flags: none"
N1358105418,T1042,1358105418-0661,0.4353,2,11,co-iss-n1358105418,1358105418,2001-01-13T19:17:24.095,595.90,821.28,10.31,3,0.00,3,10.31,8.47,25.41,1.22,1.73,,"2 frame(s); median area 3.5 px; net motion dx=14.5, dy=-61.3; flags: none"
N1358106096,T1042,1358106096-0179,0.4353,2,13,co-iss-n1358106096,1358106096,2001-01-13T19:29:18.122,610.45,759.97,9.80,4,0.00,4,9.80,8.09,32.37,1.21,2.62,,"2 frame(s); median area 3.5 px; net motion dx=14.5, dy=-61.3; flags: none"
